,Song,Artist,Year,SongID,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,artist_popularity,artist_genres,top_genre,genre_code,top10,top5
121,How To Love,Lil Wayne,2011,32eXkt1gAj4J9Dyav2bvSZ,0.000177,0.643,240307,0.661,5.14e-06,11,0.108,-6.093,0.0416,154.001,4,0.272,90,"hip hop,new orleans rap,pop rap,rap,trap",pop rap,38,0,0
122,Someone Like You,Adele,2011,4etypRtRn8IgsxZu6BhRS6,0.89,0.552,283960,0.33,0.0,9,0.105,-8.255,0.0283,135.223,4,0.28,85,"british soul,pop,pop soul,uk pop",pop,36,0,0
123,Good Life,OneRepublic,2011,7oOfd5BP16mS0Vrh1PdRHt,0.0785,0.636,253307,0.694,0.0,6,0.121,-7.796,0.051,94.989,4,0.687,84,"dance pop,neo mellow,piano rock,pop,pop rock,post-teen pop",pop,36,0,0
124,The Lazy Song,Bruno Mars,2011,386RUes7n1uM1yfzgeUuwp,0.332,0.738,190213,0.804,0.0,11,0.279,-3.851,0.0621,174.943,4,0.949,94,"dance pop,pop",pop,36,0,0
125,Till The World Ends,Britney Spears,2011,737WLYKWrI76tlunnexOsq,0.0228,0.693,237947,0.705,0.0,8,0.202,-5.747,0.0665,131.951,4,0.45,85,"dance pop,pop,post-teen pop",pop,36,0,0
126,The Show Goes On,Lupe Fiasco,2011,4NTWZqvfQTlOMitlVn6tew,0.0189,0.591,239613,0.889,0.0,7,0.155,-3.839,0.115,143.067,4,0.65,71,"chicago rap,conscious hip hop,gangster rap,hip hop,political hip hop,pop rap,rap,southern hip hop",pop rap,38,0,0
127,The Edge Of Glory,Lady Gaga,2011,6uxYfENm7zw050dNUi031W,0.000323,0.583,320547,0.768,0.0162,9,0.109,-6.477,0.041,127.952,4,0.357,90,"dance pop,pop,post-teen pop",pop,36,0,0
128,We R Who We R,Ke$ha,2011,6lCTs5NDYctSQutADkeEsA,0.00705,0.734,204760,0.802,0.0028,8,0.124,-4.893,0.0411,119.995,4,0.671,82,"dance pop,electropop,pop,post-teen pop",pop,36,0,0
129,Black And Yellow,Wiz Khalifa,2011,3VP78k3jzm0Q5OM08E383k,0.0619,0.685,217667,0.832,0.0,2,0.273,-4.548,0.0595,164.07,4,0.574,88,"hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap",pop rap,38,0,0
130,Tonight Tonight,Hot Chelle Rae,2011,2i0AUcEnsDm3dsqLrFWUCq,0.0764,0.686,200467,0.783,0.0,4,0.163,-4.977,0.119,99.978,4,0.814,66,"dance pop,dance rock,neon pop punk,pop,pop punk,pop rock,post-teen pop,viral pop",pop,36,0,0
131,Blow,Ke$ha,2011,6XUIbizGHk6EJiUDWEJtpY,0.00272,0.752,219973,0.73,3.62e-05,11,0.0967,-3.897,0.0412,120.032,4,0.769,82,"dance pop,electropop,pop,post-teen pop",pop,36,0,0
132,Lighters,Bad Meets Evil Featuring Bruno Mars,2011,0pSIJCxYqZNIZBTAnIXOkv,0.336,0.45,303813,0.66,0.0,0,0.122,-8.929,0.383,180.516,4,0.124,65,"detroit hip hop,gangster rap,hip hop,pop rap,rap",pop rap,38,0,0
133,If I Die Young,The Band Perry,2011,4u26EevCNXMhlvE1xFBJwX,0.348,0.606,222773,0.497,0.0,4,0.275,-6.611,0.0277,130.739,4,0.362,62,"contemporary country,country,country dawn,country road,modern country rock",contemporary country,12,0,0
134,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,2011,4ywvnllm7kpaXDsa1VNNpY,0.0319,0.646,210960,0.795,0.0,9,0.267,-3.293,0.0976,89.99,4,0.796,79,"dance pop,pop rap",dance pop,15,0,0
135,The Time (Dirty Bit),The Black Eyed Peas,2011,3hsBI1UxLFrIfYgfl56Nih,0.0662,0.816,307640,0.813,2.77e-06,6,0.602,-7.798,0.0664,127.979,4,0.436,87,"dance pop,pop,pop rap",pop,36,0,0
136,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,2011,47hs3xNT3iOGvgmC4eXBAi,0.164,0.353,238760,0.815,0.0,7,0.217,-1.844,0.212,167.971,4,0.245,59,"hip pop,pop rap,urban contemporary",pop rap,38,0,0
137,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,2011,7xnp3wEx1gVT3xofhAVgwg,0.0363,0.596,234453,0.913,0.0,10,0.271,-3.447,0.0822,128.074,4,0.788,87,"dance pop,latin,miami hip hop,pop,pop rap",pop,36,0,0
138,Only Girl (In The World),Rihanna,2011,1VDXQhu7YGdbM6UeEIfsaX,0.113,0.788,235493,0.71,1.22e-05,11,0.0638,-4.24,0.0426,125.919,4,0.632,92,"barbadian pop,dance pop,pop,post-teen pop,urban contemporary",pop,36,0,0
139,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,2011,7gdGdDgpCDy2kACTqvXbYa,0.000821,0.454,248587,0.746,0.0,2,0.311,-5.499,0.274,83.509,4,0.591,90,"hip hop,new orleans rap,pop rap,rap,trap",pop rap,38,0,0
